gamma,common_return,fee_fraction
1.0,1.046496855345912,0.08400698125550987
1.0,1.046616352201258,0.08400698125550987
1.0,1.0467358490566037,0.08400698125550987
1.0,1.0468553459119496,0.08400698125550987
1.0,1.0469748427672956,0.08400698125550987
1.0,1.0470943396226415,0.08400698125550987
1.0,1.0472138364779875,0.08400698125550987
1.0,1.0473333333333332,0.08400698125550987
1.0,1.0474528301886792,0.08400698125550987
1.0,1.0475723270440251,0.08400698125550987
1.0,1.047691823899371,0.08400698125550987
1.0,1.047811320754717,0.08400698125550987
1.0,1.0479308176100628,0.08400698125550987
1.0,1.0480503144654087,0.08400698125550987
1.0,1.0481698113207547,0.08400698125550987
1.0,1.0482893081761007,0.08400698125550987
1.0,1.0484088050314466,0.08400698125550987
1.0,1.0485283018867924,0.08400698125550987
1.0,1.0486477987421383,0.08400698125550987
1.0,1.0487672955974843,0.08400698125550987
1.0,1.0488867924528302,0.08400698125550987
1.0,1.0490062893081762,0.08400698125550987
1.0,1.049125786163522,0.08400698125550987
1.0,1.0492452830188679,0.08400698125550987
1.0,1.0493647798742138,0.08400698125550987
1.0,1.0494842767295598,0.08400698125550987
1.0,1.0496037735849058,0.08400698125550987
1.0,1.0497232704402515,0.08400698125550987
1.0,1.0498427672955974,0.08400698125550987
1.0,1.0499622641509434,0.08400698125550987
1.0,1.0500817610062894,0.08400698125550987
1.0,1.0502012578616353,0.08400698125550987
1.0,1.050320754716981,0.08400698125550987
1.0,1.050440251572327,0.08400698125550987
1.0,1.050559748427673,0.08400698125550987
1.0,1.050679245283019,0.08400698125550987
1.0,1.0507987421383649,0.08400698125550987
1.0,1.0509182389937106,0.08400698125550987
1.0,1.0510377358490566,0.08400698125550987
1.0,1.0511572327044025,0.08400698125550987
1.0,1.0512767295597485,0.08400698125550987
1.0,1.0513962264150942,0.08400698125550987
1.0,1.0515157232704402,0.08400698125550987
1.0,1.0516352201257861,0.08400698125550987
1.0,1.051754716981132,0.08400698125550987
1.0,1.051874213836478,0.08400698125550987
1.0,1.0519937106918238,0.08400698125550987
1.0,1.0521132075471697,0.08400698125550987
1.0,1.0522327044025157,0.08400698125550987
1.0,1.0523522012578617,0.08400698125550987
1.0,1.0524716981132076,0.08400698125550987
1.0,1.0525911949685534,0.08400698125550987
1.0,1.0527106918238993,0.08400698125550987
1.0,1.0528301886792453,0.08400698125550987
1.0,1.0529496855345912,0.08400698125550987
1.0,1.0530691823899372,0.08400698125550987
1.0,1.053188679245283,0.08400698125550987
1.0,1.0533081761006289,0.08400698125550987
1.0,1.0534276729559748,0.08400698125550987
1.0,1.0535471698113208,0.08400698125550987
1.0,1.0536666666666668,0.08400698125550987
1.0,1.0537861635220125,0.08400698125550987
1.0,1.0539056603773584,0.08400698125550987
1.0,1.0540251572327044,0.08400698125550987
1.0,1.0541446540880504,0.08400698125550987
1.0,1.0542641509433963,0.08400698125550987
1.0,1.054383647798742,0.08400698125550987
1.0,1.054503144654088,0.08400698125550987
1.0,1.054622641509434,0.08400698125550987
1.0,1.05474213836478,0.08400698125550987
1.0,1.0548616352201259,0.08400698125550987
1.0,1.0549811320754716,0.08400698125550987
1.0,1.0551006289308176,0.08400698125550987
1.0,1.0552201257861635,0.08400698125550987
1.0,1.0553396226415095,0.08400698125550987
1.0,1.0554591194968554,0.08400698125550987
